"category","subcategory","item","type","description","example_or_value","related_topic"
"CLI","Commands","claude","command","Start interactive REPL session","claude","Interactive Mode"
"CLI","Commands","claude ""query""","command","Start REPL with initial prompt","claude ""explain this project""","Interactive Mode"
"CLI","Commands","claude -p ""query""","command","Query via SDK then exit (headless mode)","claude -p ""find bugs""","Headless Mode"
"CLI","Commands","claude -c","command","Continue most recent conversation","claude -c","Sessions"
"CLI","Commands","claude -r ""session""","command","Resume session by ID or name","claude -r ""auth-refactor""","Sessions"
"CLI","Commands","claude update","command","Update to latest version","claude update","Installation"
"CLI","Commands","claude mcp","command","Configure MCP servers","claude mcp list","MCP"
"CLI","Flags","--model","flag","Set model for session","--model opus","Models"
"CLI","Flags","--permission-mode","flag","Set permission mode","--permission-mode plan","Permissions"
"CLI","Flags","--allowedTools","flag","Auto-approve specific tools","--allowedTools ""Bash,Read,Edit""","Permissions"
"CLI","Flags","--output-format","flag","Output format (text/json/stream-json)","--output-format json","Headless Mode"
"CLI","Flags","--append-system-prompt","flag","Add to system prompt","--append-system-prompt ""Use TypeScript""","System Prompt"
"CLI","Flags","--max-turns","flag","Limit agentic turns","--max-turns 10","Headless Mode"
"CLI","Flags","--verbose","flag","Enable verbose logging","--verbose","Debugging"
"Interactive","Commands","/help","slash-command","Show help","","Help"
"Interactive","Commands","/clear","slash-command","Clear conversation context","","Context Management"
"Interactive","Commands","/compact","slash-command","Summarize and compact context","/compact Focus on API changes","Context Management"
"Interactive","Commands","/cost","slash-command","Show token usage and cost","","Cost Management"
"Interactive","Commands","/config","slash-command","Open configuration menu","","Configuration"
"Interactive","Commands","/permissions","slash-command","Manage tool permissions","","Permissions"
"Interactive","Commands","/sandbox","slash-command","Configure sandboxing","","Sandboxing"
"Interactive","Commands","/mcp","slash-command","Manage MCP servers","","MCP"
"Interactive","Commands","/memory","slash-command","Edit CLAUDE.md","","Memory"
"Interactive","Commands","/resume","slash-command","Resume past session","","Sessions"
"Interactive","Commands","/rename","slash-command","Rename current session","/rename auth-refactor","Sessions"
"Interactive","Commands","/rewind","slash-command","Restore checkpoint","","Checkpoints"
"Interactive","Commands","/agents","slash-command","View and create subagents","","Subagents"
"Interactive","Commands","/plugin","slash-command","Browse plugin marketplace","","Plugins"
"Interactive","Commands","/doctor","slash-command","Run diagnostics","","Troubleshooting"
"Shortcuts","General","Ctrl+C","keyboard","Cancel/interrupt operation","","General"
"Shortcuts","General","Ctrl+L","keyboard","Clear screen","","General"
"Shortcuts","General","Ctrl+D","keyboard","Exit Claude Code","","General"
"Shortcuts","General","Esc","keyboard","Stop Claude mid-action","","General"
"Shortcuts","General","Esc+Esc","keyboard","Open rewind menu","","Checkpoints"
"Shortcuts","General","Shift+Tab","keyboard","Cycle permission modes","","Permissions"
"Shortcuts","Display","Ctrl+O","keyboard","Toggle verbose mode","","Display"
"Shortcuts","Display","Alt+T","keyboard","Toggle extended thinking","","Thinking"
"Shortcuts","Display","Ctrl+G","keyboard","Open plan in editor","","Plan Mode"
"Shortcuts","History","Ctrl+R","keyboard","Reverse search history","","History"
"Shortcuts","History","Up/Down","keyboard","Navigate history","","History"
"Shortcuts","Editing","Ctrl+A","keyboard","Start of line","","Text Editing"
"Shortcuts","Editing","Ctrl+E","keyboard","End of line","","Text Editing"
"Shortcuts","Editing","Ctrl+W","keyboard","Delete word backward","","Text Editing"
"Shortcuts","Editing","Ctrl+K","keyboard","Delete to end of line","","Text Editing"
"Models","Aliases","default","model","Claude Sonnet 4.5 - balanced performance","","Models"
"Models","Aliases","sonnet","model","Claude Sonnet 4.5 - fast, cost-effective","","Models"
"Models","Aliases","opus","model","Claude Opus 4.5 - complex reasoning","","Models"
"Models","Aliases","haiku","model","Claude Haiku - quick tasks","","Models"
"Models","Aliases","opusplan","model","Opus for planning, Sonnet for execution","","Models"
"Models","Extended","claude-sonnet-4-5-20250929[1m]","model","Sonnet with 1M token context","","Models"
"Configuration","Files","~/.claude/settings.json","config-file","User settings (personal)","","Settings"
"Configuration","Files",".claude/settings.json","config-file","Project settings (git tracked)","","Settings"
"Configuration","Files",".claude/settings.local.json","config-file","Local project settings (gitignored)","","Settings"
"Configuration","Files","~/.claude.json","config-file","Global state (theme, OAuth, MCP)","","Settings"
"Configuration","Files",".mcp.json","config-file","Project MCP servers","","MCP"
"Configuration","Files","CLAUDE.md","config-file","Project memory and context","","Memory"
"Configuration","Files","managed-settings.json","config-file","Organization managed settings","","Administration"
"Configuration","Environment","ANTHROPIC_API_KEY","env-var","API key for Claude API","export ANTHROPIC_API_KEY=sk-...","Authentication"
"Configuration","Environment","ANTHROPIC_BASE_URL","env-var","Custom API endpoint","export ANTHROPIC_BASE_URL=https://...","Gateway"
"Configuration","Environment","CLAUDE_CODE_USE_BEDROCK","env-var","Enable Amazon Bedrock","export CLAUDE_CODE_USE_BEDROCK=1","Bedrock"
"Configuration","Environment","CLAUDE_CODE_USE_VERTEX","env-var","Enable Google Vertex AI","export CLAUDE_CODE_USE_VERTEX=1","Vertex AI"
"Configuration","Environment","ANTHROPIC_MODEL","env-var","Override default model","export ANTHROPIC_MODEL=opus","Models"
"Configuration","Environment","MAX_THINKING_TOKENS","env-var","Limit extended thinking tokens","export MAX_THINKING_TOKENS=10000","Thinking"
"Configuration","Environment","HTTPS_PROXY","env-var","HTTPS proxy URL","export HTTPS_PROXY=https://proxy:8080","Network"
"Configuration","Environment","NODE_EXTRA_CA_CERTS","env-var","Custom CA certificates","export NODE_EXTRA_CA_CERTS=/path/to/cert.pem","Network"
"Permissions","Modes","normal","permission-mode","Prompt for each action","","Permissions"
"Permissions","Modes","plan","permission-mode","Read-only exploration","","Plan Mode"
"Permissions","Modes","acceptEdits","permission-mode","Auto-accept file edits","","Permissions"
"Permissions","Rules","Read","permission-rule","Allow all file reads","","Permissions"
"Permissions","Rules","Write","permission-rule","Allow all file writes","","Permissions"
"Permissions","Rules","Edit","permission-rule","Allow all file edits","","Permissions"
"Permissions","Rules","Bash(pattern)","permission-rule","Allow bash matching pattern","Bash(npm *)","Permissions"
"Tools","File Operations","Read","tool","Read file contents","","Tools"
"Tools","File Operations","Write","tool","Create new files","","Tools"
"Tools","File Operations","Edit","tool","Modify existing files","","Tools"
"Tools","File Operations","Glob","tool","Find files by pattern","","Tools"
"Tools","File Operations","Grep","tool","Search file contents","","Tools"
"Tools","Execution","Bash","tool","Run shell commands","","Tools"
"Tools","Execution","NotebookEdit","tool","Modify Jupyter notebooks","","Tools"
"Tools","Communication","Task","tool","Spawn subagents","","Subagents"
"Tools","Communication","WebFetch","tool","Fetch web content","","Web"
"Tools","Communication","WebSearch","tool","Search the internet","","Web"
"Tools","Communication","AskUserQuestion","tool","Get user input","","Communication"
"Features","Extensibility","Skills","feature","Reusable workflows, domain knowledge",".claude/skills/*/SKILL.md","Skills"
"Features","Extensibility","Subagents","feature","Specialized AI assistants",".claude/agents/*.md","Subagents"
"Features","Extensibility","Hooks","feature","Automated shell commands","hooks.json","Hooks"
"Features","Extensibility","MCP","feature","External tool integration",".mcp.json","MCP"
"Features","Extensibility","Plugins","feature","Bundled extensions",".claude-plugin/plugin.json","Plugins"
"Features","Context","CLAUDE.md","feature","Project memory and conventions","","Memory"
"Features","Context","Rules","feature","Modular path-specific rules",".claude/rules/*.md","Memory"
"Features","Context","Checkpoints","feature","Track and rewind changes","","Checkpoints"
"Features","Context","Sessions","feature","Persistent conversations","","Sessions"
"Hooks","Events","PreToolUse","hook-event","Before tool execution","","Hooks"
"Hooks","Events","PostToolUse","hook-event","After tool execution","","Hooks"
"Hooks","Events","PermissionRequest","hook-event","Before permission prompt","","Hooks"
"Hooks","Events","UserPromptSubmit","hook-event","When user sends message","","Hooks"
"Hooks","Events","Notification","hook-event","When Claude needs attention","","Hooks"
"Hooks","Events","Stop","hook-event","Before Claude stops","","Hooks"
"Hooks","Events","SessionStart","hook-event","When session begins","","Hooks"
"Hooks","Events","SessionEnd","hook-event","When session ends","","Hooks"
"MCP","Commands","claude mcp add","mcp-command","Add MCP server","claude mcp add --transport http github https://...","MCP"
"MCP","Commands","claude mcp list","mcp-command","List configured servers","","MCP"
"MCP","Commands","claude mcp get","mcp-command","Get server details","claude mcp get github","MCP"
"MCP","Commands","claude mcp remove","mcp-command","Remove server","claude mcp remove github","MCP"
"MCP","Transport","http","mcp-transport","HTTP transport (recommended)","claude mcp add --transport http ...","MCP"
"MCP","Transport","sse","mcp-transport","SSE transport (deprecated)","claude mcp add --transport sse ...","MCP"
"MCP","Transport","stdio","mcp-transport","Local stdio server","claude mcp add --transport stdio ...","MCP"
"MCP","Scopes","local","mcp-scope","Private to you, current project","","MCP"
"MCP","Scopes","project","mcp-scope","Shared via .mcp.json in git","","MCP"
"MCP","Scopes","user","mcp-scope","Available across all projects","","MCP"
"Deployment","Providers","Claude API","provider","Direct Anthropic API access","ANTHROPIC_API_KEY","Deployment"
"Deployment","Providers","Amazon Bedrock","provider","AWS infrastructure","CLAUDE_CODE_USE_BEDROCK=1","Deployment"
"Deployment","Providers","Google Vertex AI","provider","GCP infrastructure","CLAUDE_CODE_USE_VERTEX=1","Deployment"
