"id","title","url","category","topic","order","weight","description","key_concepts","code_examples_count","tables_count","tips_count"
"1","Claude Code Overview","https://code.claude.com/docs/en/overview","Getting Started","Introduction","1","10","Learn about Claude Code, Anthropic's agentic coding tool in your terminal","Get started in 30 seconds; What Claude Code does; Why developers love Claude Code; Use Claude Code everywhere","0","0","4"
"2","Quickstart","https://code.claude.com/docs/en/quickstart","Getting Started","Installation","2","10","Welcome to Claude Code! Getting started guide with installation and first steps","Install Claude Code; Log in to your account; Start your first session; Ask your first question; Make your first code change; Use Git with Claude Code; Fix bugs or add features; Essential commands","8","1","6"
"3","How Claude Code Works","https://code.claude.com/docs/en/how-claude-code-works","Core Concepts","Architecture","3","9","Understanding the agentic loop, built-in tools, and Claude Code's interaction with projects","The agentic loop; Models (Sonnet, Opus, Haiku); Tools; What Claude can access; Work with sessions; Stay safe with checkpoints and permissions; Work effectively with Claude Code","0","1","0"
"4","Features Overview","https://code.claude.com/docs/en/features-overview","Core Concepts","Features","4","9","When to use CLAUDE.md, Skills, subagents, hooks, MCP, and plugins","Match features to your goal; Compare similar features; Understand how features layer; Combine features; Understand context costs","0","6","6"
"5","Common Workflows","https://code.claude.com/docs/en/common-workflows","Core Concepts","Workflows","5","9","Step-by-step guides for exploring codebases, fixing bugs, refactoring, testing, and everyday tasks","Understand new codebases; Fix bugs efficiently; Refactor code; Use specialized subagents; Use Plan Mode; Work with tests; Create pull requests; Handle documentation; Work with images; Extended thinking; Resume conversations; Git worktrees; Unix-style utility","15","2","6"
"6","Best Practices","https://code.claude.com/docs/en/best-practices","Core Concepts","Best Practices","6","10","Tips and patterns for maximizing Claude Code effectiveness","Give Claude a way to verify; Explore first then plan; Provide specific context; Configure environment; CLAUDE.md; Permissions; CLI tools; MCP servers; Hooks; Skills; Subagents; Plugins; Communicate effectively; Manage sessions; Automate and scale; Avoid common failure patterns","12","4","19"
"7","Claude Code on the Web","https://code.claude.com/docs/en/claude-code-on-the-web","Outside Terminal","Web Platform","7","8","Run Claude Code tasks asynchronously on secure cloud infrastructure","What is Claude Code on the web; Getting started; How it works; Review changes with diff view; Moving tasks between web and terminal; Cloud environment; Network access and security; Security and isolation; Pricing and rate limits","10","0","5"
"8","Desktop App","https://code.claude.com/docs/en/desktop","Outside Terminal","Desktop","8","8","Run Claude Code tasks locally or on secure cloud infrastructure with the Claude desktop app","Installation; Features; Review changes with diff view; Using Git worktrees; Bundled Claude Code version; Environment configuration; Enterprise configuration","3","0","2"
"9","Chrome Integration","https://code.claude.com/docs/en/chrome","Outside Terminal","Browser","9","7","Connect Claude Code to your browser to test web apps, debug, and automate browser tasks","What the integration enables; Prerequisites; How the integration works; Set up the integration; Example workflows; Best practices; Troubleshooting; Enable by default","8","0","4"
"10","VS Code Extension","https://code.claude.com/docs/en/vs-code","Outside Terminal","IDE","10","8","Install and configure the Claude Code extension for VS Code with inline diffs and @-mentions","Prerequisites; Install the extension; Use the prompt box; Customize your workflow; Manage plugins; VS Code commands and shortcuts; Configure settings; Work with git; Fix common issues","12","0","6"
"11","JetBrains IDEs","https://code.claude.com/docs/en/jetbrains","Outside Terminal","IDE","11","7","Use Claude Code with IntelliJ, PyCharm, WebStorm, and other JetBrains IDEs","Supported IDEs; Features; Installation; Usage; Configuration; Special Configurations; Troubleshooting; Security Considerations","5","0","3"
"12","GitHub Actions","https://code.claude.com/docs/en/github-actions","Outside Terminal","CI/CD","12","8","Integrating Claude Code into development workflows with GitHub Actions","Why use Claude Code GitHub Actions; What can Claude do; Setup; Quick setup; Manual setup; Upgrading from Beta; Example use cases; Best practices; Using with AWS Bedrock & Google Vertex AI; Troubleshooting; Advanced configuration","15","4","12"
"13","GitLab CI/CD","https://code.claude.com/docs/en/gitlab-ci-cd","Outside Terminal","CI/CD","13","8","Integrating Claude Code into development workflows with GitLab CI/CD","Why use Claude Code with GitLab; How it works; What can Claude do; Setup; Example use cases; Using with AWS Bedrock & Google Vertex AI; Configuration examples; Best practices; Security and governance; Troubleshooting; Advanced configuration","8","0","6"
"14","Slack Integration","https://code.claude.com/docs/en/slack","Outside Terminal","Chat","14","7","Delegate coding tasks directly from your Slack workspace","Use cases; Prerequisites; Setting up Claude Code in Slack; How it works; User interface elements; Access and permissions; Best practices; Troubleshooting; Current limitations","0","3","3"
"15","Custom Subagents","https://code.claude.com/docs/en/sub-agents","Build with Claude Code","Subagents","15","9","Create specialized AI subagents for task-specific workflows and improved context management","Built-in subagents; Quickstart; Configure subagents; Choose subagent scope; Write subagent files; Choose a model; Control subagent capabilities; Define hooks for subagents; Work with subagents; Example subagents","12","3","5"
"16","Create Plugins","https://code.claude.com/docs/en/plugins","Build with Claude Code","Plugins","16","9","Create custom plugins to extend Claude Code with skills, agents, hooks, and MCP servers","When to use plugins; Quickstart; Plugin structure overview; Add Skills; Add LSP servers; Organize complex plugins; Test plugins; Debug plugin issues; Share plugins; Convert existing configurations","15","2","6"
"17","Discover Plugins","https://code.claude.com/docs/en/discover-plugins","Build with Claude Code","Plugins","17","8","Find and install plugins from marketplaces to extend Claude Code","How marketplaces work; Official Anthropic marketplace; Add marketplaces; Install plugins; Manage installed plugins; Manage marketplaces; Configure team marketplaces; Troubleshooting","8","0","5"
"18","Extend with Skills","https://code.claude.com/docs/en/skills","Build with Claude Code","Skills","18","9","Create, manage, and share skills to extend Claude's capabilities including custom slash commands","Getting started; Create your first skill; Where skills live; Configure skills; Types of skill content; Frontmatter reference; Add supporting files; Control who invokes; Restrict tool access; Pass arguments; Advanced patterns; Share skills; Troubleshooting","10","2","4"
"19","Output Styles","https://code.claude.com/docs/en/output-styles","Build with Claude Code","Output","19","6","Adapt Claude Code for uses beyond software engineering","Built-in output styles; How output styles work; Change your output style; Create a custom output style; Comparisons to related features","4","1","2"
"20","Hooks Guide","https://code.claude.com/docs/en/hooks-guide","Build with Claude Code","Hooks","20","8","Learn how to customize and extend Claude Code's behavior by registering shell commands","Hook Events Overview; Quickstart; Open hooks configuration; Add a matcher; Add the hook; Save configuration; Verify hook; Test hook; More Examples","8","1","3"
"21","Run Programmatically","https://code.claude.com/docs/en/headless","Build with Claude Code","SDK","21","8","Use the Agent SDK to run Claude Code programmatically from CLI, Python, or TypeScript","Basic usage; Examples; Get structured output; Auto-approve tools; Create a commit; Customize the system prompt; Continue conversations; Next steps","10","0","3"
"22","MCP Integration","https://code.claude.com/docs/en/mcp","Build with Claude Code","MCP","22","10","Learn how to connect Claude Code to your tools with the Model Context Protocol","What you can do with MCP; Popular MCP servers; Installing MCP servers; MCP installation scopes; Practical examples; Authenticate with remote MCP servers; Add MCP servers from JSON; Import from Claude Desktop; Use Claude Code as MCP server; MCP output limits; Use MCP resources; Scale with MCP Tool Search; Use MCP prompts; Managed MCP configuration","25","1","10"
"23","Enterprise Deployment Overview","https://code.claude.com/docs/en/third-party-integrations","Deployment","Enterprise","23","8","Integration with various third-party services and infrastructure for enterprise deployment","Compare deployment options; Configure proxies and gateways; Amazon Bedrock; Microsoft Foundry; Google Vertex AI; Best practices for organizations","2","1","3"
